Item,Element,Y2011
"Vegetables, Other",Food supply (kcal/capita/day),71
"Vegetables, Other",Protein supply quantity (g/capita/day),3.81
"Vegetables, Other",Fat supply quantity (g/capita/day),0.6
"Oranges, Mandarines",Production,97115
"Oranges, Mandarines",Import Quantity,33387
"Oranges, Mandarines",Stock Variation,934
"Oranges, Mandarines",Export Quantity,32999
"Oranges, Mandarines",Domestic supply quantity,98437
"Oranges, Mandarines",Feed,10
"Oranges, Mandarines",Waste,7091
"Oranges, Mandarines",Processing,57
"Oranges, Mandarines",Other uses,113
"Oranges, Mandarines",Food,91279
"Oranges, Mandarines",Food supply quantity (kg/capita/yr),13.33
"Oranges, Mandarines",Food supply (kcal/capita/day),10
"Oranges, Mandarines",Protein supply quantity (g/capita/day),0.18
"Oranges, Mandarines",Fat supply quantity (g/capita/day),0.04
"Lemons, Limes and products",Production,14460
"Lemons, Limes and products",Import Quantity,4244
"Lemons, Limes and products",Stock Variation,8
"Lemons, Limes and products",Export Quantity,3950
"Lemons, Limes and products",Domestic supply quantity,14762
"Lemons, Limes and products",Waste,1374
"Lemons, Limes and products",Processing,92
"Lemons, Limes and products",Other uses,336
"Lemons, Limes and products",Food,12962
"Lemons, Limes and products",Food supply quantity (kg/capita/yr),1.89
"Lemons, Limes and products",Food supply (kcal/capita/day),1
"Lemons, Limes and products",Protein supply quantity (g/capita/day),0.02
"Lemons, Limes and products",Fat supply quantity (g/capita/day),0.02
Grapefruit and products,Production,7847
Grapefruit and products,Import Quantity,2737
Grapefruit and products,Stock Variation,52
Grapefruit and products,Export Quantity,2437
Grapefruit and products,Domestic supply quantity,8198
Grapefruit and products,Feed,0
Grapefruit and products,Waste,809
Grapefruit and products,Processing,2
Grapefruit and products,Other uses,5
Grapefruit and products,Food,7403
Grapefruit and products,Food supply quantity (kg/capita/yr),1.08
Grapefruit and products,Food supply (kcal/capita/day),1
Grapefruit and products,Protein supply quantity (g/capita/day),0.01
Grapefruit and products,Fat supply quantity (g/capita/day),0
"Citrus, Other",Production,10691
"Citrus, Other",Import Quantity,653
"Citrus, Other",Stock Variation,2
"Citrus, Other",Export Quantity,568
"Citrus, Other",Domestic supply quantity,10779
"Citrus, Other",Waste,778
"Citrus, Other",Processing,59
"Citrus, Other",Other uses,21
"Citrus, Other",Food,9980
"Citrus, Other",Food supply quantity (kg/capita/yr),1.46
"Citrus, Other",Food supply (kcal/capita/day),1
"Citrus, Other",Protein supply quantity (g/capita/day),0.02
"Citrus, Other",Fat supply quantity (g/capita/day),0.01
Bananas,Production,102494
Bananas,Import Quantity,18753
Bananas,Stock Variation,522
Bananas,Export Quantity,20129
Bananas,Domestic supply quantity,101640
Bananas,Feed,1541
Bananas,Waste,15903
Bananas,Processing,1589
Bananas,Other uses,110
Bananas,Food,82497
Bananas,Food supply quantity (kg/capita/yr),12.05
Bananas,Food supply (kcal/capita/day),20
Bananas,Protein supply quantity (g/capita/day),0.27
Bananas,Fat supply quantity (g/capita/day),0.06
Plantains,Production,35928
Plantains,Import Quantity,663
Plantains,Stock Variation,0
Plantains,Export Quantity,425
Plantains,Domestic supply quantity,36167
Plantains,Feed,2919
Plantains,Waste,3981
Plantains,Processing,4963
Plantains,Other uses,240
Plantains,Food,24065
Plantains,Food supply quantity (kg/capita/yr),3.51
Plantains,Food supply (kcal/capita/day),8
Plantains,Protein supply quantity (g/capita/day),0.07
Plantains,Fat supply quantity (g/capita/day),0.02
Apples and products,Production,75779
Apples and products,Import Quantity,19630
Apples and products,Stock Variation,151
Apples and products,Export Quantity,16825
Apples and products,Domestic supply quantity,78736
Apples and products,Feed,633
Apples and products,Waste,8050
Apples and products,Processing,5243
Apples and products,Other uses,29
Apples and products,Food,64357
Apples and products,Food supply quantity (kg/capita/yr),9.4
Apples and products,Food supply (kcal/capita/day),11
Apples and products,Protein supply quantity (g/capita/day),0.06
Apples and products,Fat supply quantity (g/capita/day),0.06
Pineapples and products,Production,21700
Pineapples and products,Import Quantity,6655
Pineapples and products,Stock Variation,19
Pineapples and products,Export Quantity,6924
Pineapples and products,Domestic supply quantity,21450
Pineapples and products,Waste,2113
Pineapples and products,Processing,16
Pineapples and products,Other uses,3
Pineapples and products,Food,19618
Pineapples and products,Food supply quantity (kg/capita/yr),2.86
Pineapples and products,Food supply (kcal/capita/day),3
Pineapples and products,Protein supply quantity (g/capita/day),0.02
Pineapples and products,Fat supply quantity (g/capita/day),0.01
Dates,Production,7004
Dates,Import Quantity,740
Dates,Stock Variation,5
Dates,Export Quantity,721
Dates,Domestic supply quantity,7028
Dates,Feed,281
Dates,Waste,554
Dates,Processing,0
Dates,Other uses,36
Dates,Food,6157
Dates,Food supply quantity (kg/capita/yr),0.9
Dates,Food supply (kcal/capita/day),4
Dates,Protein supply quantity (g/capita/day),0.04
Dates,Fat supply quantity (g/capita/day),0.01
Grapes and products (excl wine),Production,69533
Grapes and products (excl wine),Import Quantity,8615
Grapes and products (excl wine),Stock Variation,28
Grapes and products (excl wine),Export Quantity,8940
Grapes and products (excl wine),Domestic supply quantity,69236
Grapes and products (excl wine),Feed,0
Grapes and products (excl wine),Waste,2491
Grapes and products (excl wine),Processing,39847
Grapes and products (excl wine),Other uses,832
Grapes and products (excl wine),Food,26141
Grapes and products (excl wine),Food supply quantity (kg/capita/yr),3.82
Grapes and products (excl wine),Food supply (kcal/capita/day),6
Grapes and products (excl wine),Protein supply quantity (g/capita/day),0.06
Grapes and products (excl wine),Fat supply quantity (g/capita/day),0.03
"Fruits, Other",Production,189239
"Fruits, Other",Import Quantity,27139
"Fruits, Other",Stock Variation,113
"Fruits, Other",Export Quantity,27372
"Fruits, Other",Domestic supply quantity,189120
"Fruits, Other",Feed,111
"Fruits, Other",Waste,16964
"Fruits, Other",Processing,3377
"Fruits, Other",Other uses,157
"Fruits, Other",Food,169326
"Fruits, Other",Food supply quantity (kg/capita/yr),24.73
"Fruits, Other",Food supply (kcal/capita/day),29
"Fruits, Other",Protein supply quantity (g/capita/day),0.35
"Fruits, Other",Fat supply quantity (g/capita/day),0.34
Coffee and products,Production,8300
Coffee and products,Import Quantity,9569
Coffee and products,Stock Variation,320
Coffee and products,Export Quantity,10111
Coffee and products,Domestic supply quantity,8077
Coffee and products,Waste,126
Coffee and products,Processing,0
Coffee and products,Other uses,43
Coffee and products,Food,7961
Coffee and products,Food supply quantity (kg/capita/yr),1.16
Coffee and products,Food supply (kcal/capita/day),1
Coffee and products,Protein supply quantity (g/capita/day),0.18
Cocoa Beans and products,Production,4574
Cocoa Beans and products,Import Quantity,8474
Cocoa Beans and products,Stock Variation,257
Cocoa Beans and products,Export Quantity,8294
Cocoa Beans and products,Domestic supply quantity,5011
Cocoa Beans and products,Feed,12
Cocoa Beans and products,Waste,108
Cocoa Beans and products,Processing,45
Cocoa Beans and products,Other uses,328
Cocoa Beans and products,Food,4536
Cocoa Beans and products,Food supply quantity (kg/capita/yr),0.66
Cocoa Beans and products,Food supply (kcal/capita/day),5
Cocoa Beans and products,Protein supply quantity (g/capita/day),0.13
Cocoa Beans and products,Fat supply quantity (g/capita/day),0.43
Tea (including mate),Production,5538
Tea (including mate),Import Quantity,2110
Tea (including mate),Stock Variation,-16
Tea (including mate),Export Quantity,2242
Tea (including mate),Domestic supply quantity,5390
Tea (including mate),Feed,0
Tea (including mate),Waste,101
Tea (including mate),Other uses,20
Tea (including mate),Food,5371
Tea (including mate),Food supply quantity (kg/capita/yr),0.78
Tea (including mate),Food supply (kcal/capita/day),1
Tea (including mate),Protein supply quantity (g/capita/day),0.21
Pepper,Production,450
Pepper,Import Quantity,301
Pepper,Stock Variation,0
Pepper,Export Quantity,321
Pepper,Domestic supply quantity,430
Pepper,Waste,8
Pepper,Other uses,1
Pepper,Food,421
Pepper,Food supply quantity (kg/capita/yr),0.06
Pepper,Food supply (kcal/capita/day),0
Pepper,Protein supply quantity (g/capita/day),0.02
Pepper,Fat supply quantity (g/capita/day),0
Pimento,Production,3280
Pimento,Import Quantity,535
Pimento,Stock Variation,-12
Pimento,Export Quantity,536
Pimento,Domestic supply quantity,3268
Pimento,Waste,132
Pimento,Other uses,85
Pimento,Food,3056
Pimento,Food supply quantity (kg/capita/yr),0.45
Pimento,Food supply (kcal/capita/day),4
Pimento,Protein supply quantity (g/capita/day),0.15
Pimento,Fat supply quantity (g/capita/day),0.16
Cloves,Production,108
Cloves,Import Quantity,48
Cloves,Stock Variation,1
Cloves,Export Quantity,45
Cloves,Domestic supply quantity,113
Cloves,Feed,0
Cloves,Waste,5
Cloves,Other uses,73
Cloves,Food,40
Cloves,Food supply quantity (kg/capita/yr),0.01
Cloves,Food supply (kcal/capita/day),0
Cloves,Protein supply quantity (g/capita/day),0
Cloves,Fat supply quantity (g/capita/day),0
"Spices, Other",Production,5484
"Spices, Other",Import Quantity,1395
"Spices, Other",Stock Variation,-14
"Spices, Other",Export Quantity,1409
"Spices, Other",Domestic supply quantity,5456
"Spices, Other",Waste,89
"Spices, Other",Other uses,168
"Spices, Other",Food,5224
"Spices, Other",Food supply quantity (kg/capita/yr),0.76
"Spices, Other",Food supply (kcal/capita/day),7
"Spices, Other",Protein supply quantity (g/capita/day),0.23
"Spices, Other",Fat supply quantity (g/capita/day),0.19
Wine,Production,28379
Wine,Import Quantity,10231
Wine,Stock Variation,501
Wine,Export Quantity,10714
Wine,Domestic supply quantity,28397
Wine,Waste,223
Wine,Processing,3238
Wine,Other uses,1597
Wine,Food,23342
Wine,Food supply quantity (kg/capita/yr),3.41
Wine,Food supply (kcal/capita/day),6
Wine,Protein supply quantity (g/capita/day),0
Beer,Production,184505
Beer,Import Quantity,11498
Beer,Stock Variation,-32
Beer,Export Quantity,12501
Beer,Domestic supply quantity,183469
Beer,Waste,42
Beer,Other uses,277
Beer,Food,183150
Beer,Food supply quantity (kg/capita/yr),26.75
Beer,Food supply (kcal/capita/day),33
Beer,Protein supply quantity (g/capita/day),0.32
"Beverages, Fermented",Production,32545
"Beverages, Fermented",Import Quantity,849
"Beverages, Fermented",Stock Variation,-62
"Beverages, Fermented",Export Quantity,988
"Beverages, Fermented",Domestic supply quantity,32345
"Beverages, Fermented",Waste,1433
"Beverages, Fermented",Other uses,276
"Beverages, Fermented",Food,30640
"Beverages, Fermented",Food supply quantity (kg/capita/yr),4.47
"Beverages, Fermented",Food supply (kcal/capita/day),5
"Beverages, Fermented",Protein supply quantity (g/capita/day),0.05
"Beverages, Fermented",Fat supply quantity (g/capita/day),0
"Beverages, Alcoholic",Production,25601
"Beverages, Alcoholic",Import Quantity,3928
"Beverages, Alcoholic",Stock Variation,27
"Beverages, Alcoholic",Export Quantity,4137
"Beverages, Alcoholic",Domestic supply quantity,25418
"Beverages, Alcoholic",Other uses,4574
"Beverages, Alcoholic",Food,20844
"Beverages, Alcoholic",Food supply quantity (kg/capita/yr),3.04
"Beverages, Alcoholic",Food supply (kcal/capita/day),24
"Beverages, Alcoholic",Protein supply quantity (g/capita/day),0
"Alcohol, Non-Food",Production,19316
"Alcohol, Non-Food",Import Quantity,9260
"Alcohol, Non-Food",Stock Variation,3616
"Alcohol, Non-Food",Export Quantity,10996
"Alcohol, Non-Food",Domestic supply quantity,21195
"Alcohol, Non-Food",Waste,
"Alcohol, Non-Food",Other uses,21352
Bovine Meat,Production,66179
Bovine Meat,Import Quantity,9365
Bovine Meat,Stock Variation,24
Bovine Meat,Export Quantity,10833
Bovine Meat,Domestic supply quantity,64735
Bovine Meat,Feed,8
Bovine Meat,Waste,179
Bovine Meat,Processing,-24
Bovine Meat,Other uses,165
Bovine Meat,Food,64446
Bovine Meat,Food supply quantity (kg/capita/yr),9.41
Bovine Meat,Food supply (kcal/capita/day),40
Bovine Meat,Protein supply quantity (g/capita/day),3.57
Bovine Meat,Fat supply quantity (g/capita/day),2.7
Mutton & Goat Meat,Production,13077
Mutton & Goat Meat,Import Quantity,866
Mutton & Goat Meat,Stock Variation,0
Mutton & Goat Meat,Export Quantity,877
Mutton & Goat Meat,Domestic supply quantity,13067
Mutton & Goat Meat,Feed,17
Mutton & Goat Meat,Waste,35
Mutton & Goat Meat,Other uses,160
Mutton & Goat Meat,Food,12855
Mutton & Goat Meat,Food supply quantity (kg/capita/yr),1.88
Mutton & Goat Meat,Food supply (kcal/capita/day),11
Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.71
Mutton & Goat Meat,Fat supply quantity (g/capita/day),0.83
Pigmeat,Production,107947
Pigmeat,Import Quantity,14792
Pigmeat,Stock Variation,-75
Pigmeat,Export Quantity,15459
Pigmeat,Domestic supply quantity,107205
Pigmeat,Waste,304
Pigmeat,Processing,36
Pigmeat,Other uses,354
Pigmeat,Food,106587
Pigmeat,Food supply quantity (kg/capita/yr),15.56
Pigmeat,Food supply (kcal/capita/day),120
Pigmeat,Protein supply quantity (g/capita/day),4.5
Pigmeat,Fat supply quantity (g/capita/day),11.19
Poultry Meat,Production,102475
Poultry Meat,Import Quantity,14589
Poultry Meat,Stock Variation,210
Poultry Meat,Export Quantity,15956
Poultry Meat,Domestic supply quantity,101318
Poultry Meat,Feed,0
Poultry Meat,Waste,350
Poultry Meat,Processing,428
Poultry Meat,Other uses,1098
Poultry Meat,Food,99446
Poultry Meat,Food supply quantity (kg/capita/yr),14.52
Poultry Meat,Food supply (kcal/capita/day),57
Poultry Meat,Protein supply quantity (g/capita/day),5
Poultry Meat,Fat supply quantity (g/capita/day),3.94
"Meat, Other",Production,6298
"Meat, Other",Import Quantity,1161
"Meat, Other",Stock Variation,4
"Meat, Other",Export Quantity,699
"Meat, Other",Domestic supply quantity,6764
"Meat, Other",Feed,50
"Meat, Other",Waste,14
"Meat, Other",Processing,14
"Meat, Other",Other uses,15
"Meat, Other",Food,6742
"Meat, Other",Food supply quantity (kg/capita/yr),0.98
"Meat, Other",Food supply (kcal/capita/day),3
"Meat, Other",Protein supply quantity (g/capita/day),0.48
"Meat, Other",Fat supply quantity (g/capita/day),0.14
"Offals, Edible",Production,18082
"Offals, Edible",Import Quantity,3893
"Offals, Edible",Stock Variation,40
"Offals, Edible",Export Quantity,4770
"Offals, Edible",Domestic supply quantity,17244
"Offals, Edible",Feed,1039
"Offals, Edible",Waste,70
"Offals, Edible",Processing,0
"Offals, Edible",Other uses,906
"Offals, Edible",Food,15255
"Offals, Edible",Food supply quantity (kg/capita/yr),2.23
"Offals, Edible",Food supply (kcal/capita/day),7
"Offals, Edible",Protein supply quantity (g/capita/day),1.09
"Offals, Edible",Fat supply quantity (g/capita/day),0.21
"Butter, Ghee",Production,9375
"Butter, Ghee",Import Quantity,1513
"Butter, Ghee",Stock Variation,-176
"Butter, Ghee",Export Quantity,1407
"Butter, Ghee",Domestic supply quantity,9305
"Butter, Ghee",Feed,4
"Butter, Ghee",Waste,66
"Butter, Ghee",Other uses,41
"Butter, Ghee",Food,9201
"Butter, Ghee",Food supply quantity (kg/capita/yr),1.34
"Butter, Ghee",Food supply (kcal/capita/day),29
"Butter, Ghee",Protein supply quantity (g/capita/day),0.02
"Butter, Ghee",Fat supply quantity (g/capita/day),3.24
Cream,Production,3327
Cream,Import Quantity,1131
Cream,Stock Variation,-3
Cream,Export Quantity,1364
Cream,Domestic supply quantity,3090
Cream,Waste,35
Cream,Processing,0
Cream,Other uses,108
Cream,Food,2948
Cream,Food supply quantity (kg/capita/yr),0.43
Cream,Food supply (kcal/capita/day),2
Cream,Protein supply quantity (g/capita/day),0.03
Cream,Fat supply quantity (g/capita/day),0.23
"Fats, Animals, Raw",Production,22696
"Fats, Animals, Raw",Import Quantity,5396
"Fats, Animals, Raw",Stock Variation,27
"Fats, Animals, Raw",Export Quantity,5593
"Fats, Animals, Raw",Domestic supply quantity,22526
"Fats, Animals, Raw",Feed,1591
"Fats, Animals, Raw",Waste,40
"Fats, Animals, Raw",Processing,217
"Fats, Animals, Raw",Other uses,10531
"Fats, Animals, Raw",Food,10393
"Fats, Animals, Raw",Food supply quantity (kg/capita/yr),1.52
"Fats, Animals, Raw",Food supply (kcal/capita/day),30
"Fats, Animals, Raw",Protein supply quantity (g/capita/day),0.03
"Fats, Animals, Raw",Fat supply quantity (g/capita/day),3.28
"Fish, Body Oil",Production,1116
"Fish, Body Oil",Import Quantity,890
"Fish, Body Oil",Stock Variation,-90
"Fish, Body Oil",Export Quantity,902
"Fish, Body Oil",Domestic supply quantity,1013
"Fish, Body Oil",Feed,463
"Fish, Body Oil",Other uses,468
"Fish, Body Oil",Food,83
"Fish, Body Oil",Food supply quantity (kg/capita/yr),0.01
"Fish, Body Oil",Food supply (kcal/capita/day),0
"Fish, Body Oil",Protein supply quantity (g/capita/day),0
"Fish, Body Oil",Fat supply quantity (g/capita/day),0.03
"Fish, Liver Oil",Production,19
"Fish, Liver Oil",Import Quantity,23
"Fish, Liver Oil",Stock Variation,0
"Fish, Liver Oil",Export Quantity,23
"Fish, Liver Oil",Domestic supply quantity,19
"Fish, Liver Oil",Feed,7
"Fish, Liver Oil",Other uses,5
"Fish, Liver Oil",Food,6
"Fish, Liver Oil",Food supply quantity (kg/capita/yr),0
"Fish, Liver Oil",Food supply (kcal/capita/day),0
"Fish, Liver Oil",Protein supply quantity (g/capita/day),0
"Fish, Liver Oil",Fat supply quantity (g/capita/day),0
Eggs,Production,70398
Eggs,Import Quantity,2171
Eggs,Stock Variation,5
Eggs,Export Quantity,2467
Eggs,Domestic supply quantity,70106
Eggs,Feed,74
Eggs,Seed,4709
Eggs,Waste,3253
Eggs,Processing,0
Eggs,Other uses,778
Eggs,Food,61305
Eggs,Food supply quantity (kg/capita/yr),8.95
Eggs,Food supply (kcal/capita/day),35
Eggs,Protein supply quantity (g/capita/day),2.72
Eggs,Fat supply quantity (g/capita/day),2.46
Milk - Excluding Butter,Production,738106
Milk - Excluding Butter,Import Quantity,102995
Milk - Excluding Butter,Stock Variation,365
Milk - Excluding Butter,Export Quantity,107240
Milk - Excluding Butter,Domestic supply quantity,734227
Milk - Excluding Butter,Feed,78635
Milk - Excluding Butter,Waste,18224
Milk - Excluding Butter,Processing,25
Milk - Excluding Butter,Other uses,16382
Milk - Excluding Butter,Food,621340
Milk - Excluding Butter,Food supply quantity (kg/capita/yr),90.73
Milk - Excluding Butter,Food supply (kcal/capita/day),139
Milk - Excluding Butter,Protein supply quantity (g/capita/day),8.26
Milk - Excluding Butter,Fat supply quantity (g/capita/day),7.59
Freshwater Fish,Production,49546
Freshwater Fish,Import Quantity,5403
Freshwater Fish,Stock Variation,134
Freshwater Fish,Export Quantity,5837
Freshwater Fish,Domestic supply quantity,49245
Freshwater Fish,Feed,485
Freshwater Fish,Seed,50
Freshwater Fish,Other uses,2151
Freshwater Fish,Food,46560
Freshwater Fish,Food supply quantity (kg/capita/yr),6.8
Freshwater Fish,Food supply (kcal/capita/day),13
Freshwater Fish,Protein supply quantity (g/capita/day),2
Freshwater Fish,Fat supply quantity (g/capita/day),0.46
Demersal Fish,Production,20802
Demersal Fish,Import Quantity,10235
Demersal Fish,Stock Variation,128
Demersal Fish,Export Quantity,9369
Demersal Fish,Domestic supply quantity,21796
Demersal Fish,Feed,1169
Demersal Fish,Seed,258
Demersal Fish,Other uses,542
Demersal Fish,Food,19827
Demersal Fish,Food supply quantity (kg/capita/yr),2.9
Demersal Fish,Food supply (kcal/capita/day),6
Demersal Fish,Protein supply quantity (g/capita/day),0.87
Demersal Fish,Fat supply quantity (g/capita/day),0.22
Pelagic Fish,Production,38220
Pelagic Fish,Import Quantity,29400
Pelagic Fish,Stock Variation,-1146
Pelagic Fish,Export Quantity,23801
Pelagic Fish,Domestic supply quantity,42673
Pelagic Fish,Feed,20059
Pelagic Fish,Seed,6
Pelagic Fish,Other uses,594
Pelagic Fish,Food,22014
Pelagic Fish,Food supply quantity (kg/capita/yr),3.21
Pelagic Fish,Food supply (kcal/capita/day),8
Pelagic Fish,Protein supply quantity (g/capita/day),1.17
Pelagic Fish,Fat supply quantity (g/capita/day),0.37
"Marine Fish, Other",Production,10855
"Marine Fish, Other",Import Quantity,4826
"Marine Fish, Other",Stock Variation,186
"Marine Fish, Other",Export Quantity,5365
"Marine Fish, Other",Domestic supply quantity,10502
"Marine Fish, Other",Feed,1408
"Marine Fish, Other",Seed,2
"Marine Fish, Other",Other uses,222
"Marine Fish, Other",Food,8870
"Marine Fish, Other",Food supply quantity (kg/capita/yr),1.3
"Marine Fish, Other",Food supply (kcal/capita/day),3
"Marine Fish, Other",Protein supply quantity (g/capita/day),0.39
"Marine Fish, Other",Fat supply quantity (g/capita/day),0.09
Crustaceans,Production,12083
Crustaceans,Import Quantity,5762
Crustaceans,Stock Variation,42
Crustaceans,Export Quantity,5399
Crustaceans,Domestic supply quantity,12488
Crustaceans,Feed,173
Crustaceans,Seed,120
Crustaceans,Other uses,29
Crustaceans,Food,12165
Crustaceans,Food supply quantity (kg/capita/yr),1.78
Crustaceans,Food supply (kcal/capita/day),2
Crustaceans,Protein supply quantity (g/capita/day),0.44
Crustaceans,Fat supply quantity (g/capita/day),0.02
Cephalopods,Production,3904
Cephalopods,Import Quantity,1727
Cephalopods,Stock Variation,17
Cephalopods,Export Quantity,1996
Cephalopods,Domestic supply quantity,3652
Cephalopods,Feed,152
Cephalopods,Seed,0
Cephalopods,Other uses,28
Cephalopods,Food,3472
Cephalopods,Food supply quantity (kg/capita/yr),0.51
Cephalopods,Food supply (kcal/capita/day),1
Cephalopods,Protein supply quantity (g/capita/day),0.2
Cephalopods,Fat supply quantity (g/capita/day),0.01
"Molluscs, Other",Production,17607
"Molluscs, Other",Import Quantity,3230
"Molluscs, Other",Stock Variation,16
"Molluscs, Other",Export Quantity,4053
"Molluscs, Other",Domestic supply quantity,16800
"Molluscs, Other",Feed,18
"Molluscs, Other",Seed,30
"Molluscs, Other",Other uses,24
"Molluscs, Other",Food,16729
"Molluscs, Other",Food supply quantity (kg/capita/yr),2.44
"Molluscs, Other",Food supply (kcal/capita/day),1
"Molluscs, Other",Protein supply quantity (g/capita/day),0.17
"Molluscs, Other",Fat supply quantity (g/capita/day),0.02
"Meat, Aquatic Mammals",Production,0
"Meat, Aquatic Mammals",Export Quantity,0
"Meat, Aquatic Mammals",Domestic supply quantity,0
"Meat, Aquatic Mammals",Other uses,0
"Meat, Aquatic Mammals",Food,0
"Meat, Aquatic Mammals",Food supply quantity (kg/capita/yr),0
"Meat, Aquatic Mammals",Food supply (kcal/capita/day),0
"Meat, Aquatic Mammals",Protein supply quantity (g/capita/day),0
"Meat, Aquatic Mammals",Fat supply quantity (g/capita/day),0
"Aquatic Animals, Others",Production,1348
"Aquatic Animals, Others",Import Quantity,287
"Aquatic Animals, Others",Stock Variation,0
"Aquatic Animals, Others",Export Quantity,160
"Aquatic Animals, Others",Domestic supply quantity,1476
"Aquatic Animals, Others",Seed,0
"Aquatic Animals, Others",Other uses,127
"Aquatic Animals, Others",Food,1348
"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),0.2
"Aquatic Animals, Others",Food supply (kcal/capita/day),0
"Aquatic Animals, Others",Protein supply quantity (g/capita/day),0.02
"Aquatic Animals, Others",Fat supply quantity (g/capita/day),0
Aquatic Plants,Production,21795
Aquatic Plants,Import Quantity,416
Aquatic Plants,Stock Variation,0
Aquatic Plants,Export Quantity,447
Aquatic Plants,Domestic supply quantity,21764
Aquatic Plants,Feed,159
Aquatic Plants,Other uses,8671
Aquatic Plants,Food,12934
Aquatic Plants,Food supply quantity (kg/capita/yr),1.89
Aquatic Plants,Food supply (kcal/capita/day),2
Aquatic Plants,Protein supply quantity (g/capita/day),0.14
Aquatic Plants,Fat supply quantity (g/capita/day),0.01
Infant food,Production,
Infant food,Import Quantity,902
Infant food,Stock Variation,-1
Infant food,Export Quantity,789
Infant food,Domestic supply quantity,112
Infant food,Waste,1
Infant food,Other uses,0
Infant food,Food,666
Infant food,Food supply quantity (kg/capita/yr),0.1
Infant food,Food supply (kcal/capita/day),1
Infant food,Protein supply quantity (g/capita/day),0.04
Infant food,Fat supply quantity (g/capita/day),0.01
Miscellaneous,Food supply (kcal/capita/day),1
Miscellaneous,Protein supply quantity (g/capita/day),0.04
Miscellaneous,Fat supply quantity (g/capita/day),0.02
Grand Total,Food supply (kcal/capita/day),2870
Grand Total,Protein supply quantity (g/capita/day),80.49
Grand Total,Fat supply quantity (g/capita/day),82.56
Vegetal Products,Food supply (kcal/capita/day),2362
Vegetal Products,Protein supply quantity (g/capita/day),48.67
Vegetal Products,Fat supply quantity (g/capita/day),45.53
Animal Products,Food supply (kcal/capita/day),508
Animal Products,Protein supply quantity (g/capita/day),31.82
Animal Products,Fat supply quantity (g/capita/day),37.03
Cereals - Excluding Beer,Production,2341981
Cereals - Excluding Beer,Import Quantity,371750
Cereals - Excluding Beer,Stock Variation,-21877
Cereals - Excluding Beer,Export Quantity,384712
Cereals - Excluding Beer,Domestic supply quantity,2307110
Cereals - Excluding Beer,Feed,816104
Cereals - Excluding Beer,Seed,66441
Cereals - Excluding Beer,Waste,101061
Cereals - Excluding Beer,Processing,89441
Cereals - Excluding Beer,Other uses,226914
Cereals - Excluding Beer,Food,1007765
Cereals - Excluding Beer,Food supply quantity (kg/capita/yr),147.17
Cereals - Excluding Beer,Food supply (kcal/capita/day),1296
Cereals - Excluding Beer,Protein supply quantity (g/capita/day),31.92
Cereals - Excluding Beer,Fat supply quantity (g/capita/day),5.88
Starchy Roots,Production,796696
Starchy Roots,Import Quantity,58437
Starchy Roots,Stock Variation,-5858
Starchy Roots,Export Quantity,56229
Starchy Roots,Domestic supply quantity,793044
Starchy Roots,Feed,176134
Starchy Roots,Seed,35520
Starchy Roots,Waste,78436
Starchy Roots,Processing,14765
Starchy Roots,Other uses,53585
Starchy Roots,Food,434756
Starchy Roots,Food supply quantity (kg/capita/yr),63.49
Starchy Roots,Food supply (kcal/capita/day),141
Starchy Roots,Protein supply quantity (g/capita/day),2.27
Starchy Roots,Fat supply quantity (g/capita/day),0.26
Sugar Crops,Production,2083717
Sugar Crops,Import Quantity,1104
Sugar Crops,Stock Variation,-219
Sugar Crops,Export Quantity,1383
Sugar Crops,Domestic supply quantity,2083221
Sugar Crops,Feed,50930
Sugar Crops,Seed,28251
Sugar Crops,Waste,148052
Sugar Crops,Processing,1518351
Sugar Crops,Other uses,306360
Sugar Crops,Food,31309
Sugar Crops,Food supply quantity (kg/capita/yr),4.57
Sugar Crops,Food supply (kcal/capita/day),4
Sugar Crops,Protein supply quantity (g/capita/day),0.02
Sugar Crops,Fat supply quantity (g/capita/day),0.02
Sugar & Sweeteners,Production,204530
Sugar & Sweeteners,Import Quantity,70936
Sugar & Sweeteners,Stock Variation,-8327
Sugar & Sweeteners,Export Quantity,73326
Sugar & Sweeteners,Domestic supply quantity,193798
Sugar & Sweeteners,Feed,429
Sugar & Sweeteners,Seed,0
Sugar & Sweeteners,Waste,259
Sugar & Sweeteners,Processing,7349
Sugar & Sweeteners,Other uses,20788
Sugar & Sweeteners,Food,165142
Sugar & Sweeteners,Food supply quantity (kg/capita/yr),24.12
Sugar & Sweeteners,Food supply (kcal/capita/day),230
Sugar & Sweeteners,Protein supply quantity (g/capita/day),0.04
Sugar & Sweeteners,Fat supply quantity (g/capita/day),0.01
Pulses,Production,68111
Pulses,Import Quantity,12091
Pulses,Stock Variation,1471
Pulses,Export Quantity,13471
Pulses,Domestic supply quantity,68200
Pulses,Feed,12930
Pulses,Seed,3965
Pulses,Waste,3460
Pulses,Processing,0
Pulses,Other uses,709
Pulses,Food,47156
Pulses,Food supply quantity (kg/capita/yr),6.89
Pulses,Food supply (kcal/capita/day),65
Pulses,Protein supply quantity (g/capita/day),4.05
Pulses,Fat supply quantity (g/capita/day),0.42
Treenuts,Production,15322
Treenuts,Import Quantity,6916
Treenuts,Stock Variation,180
Treenuts,Export Quantity,7232
Treenuts,Domestic supply quantity,15186
