Item,Element,Y2011
Potatoes and products,Stock Variation,1125
Potatoes and products,Export Quantity,28362
Potatoes and products,Domestic supply quantity,375251
Potatoes and products,Feed,49679
Potatoes and products,Seed,32751
Potatoes and products,Waste,33952
Potatoes and products,Processing,13048
Potatoes and products,Other uses,8742
Potatoes and products,Food,237200
Potatoes and products,Food supply quantity (kg/capita/yr),34.64
Potatoes and products,Food supply (kcal/capita/day),64
Potatoes and products,Protein supply quantity (g/capita/day),1.52
Potatoes and products,Fat supply quantity (g/capita/day),0.1
Sweet potatoes,Production,103371
Sweet potatoes,Import Quantity,281
Sweet potatoes,Stock Variation,-1300
Sweet potatoes,Export Quantity,424
Sweet potatoes,Domestic supply quantity,101928
Sweet potatoes,Feed,39899
Sweet potatoes,Seed,528
Sweet potatoes,Waste,6847
Sweet potatoes,Processing,38
Sweet potatoes,Other uses,36
Sweet potatoes,Food,54581
Sweet potatoes,Food supply quantity (kg/capita/yr),7.97
Sweet potatoes,Food supply (kcal/capita/day),21
Sweet potatoes,Protein supply quantity (g/capita/day),0.23
Sweet potatoes,Fat supply quantity (g/capita/day),0.06
Yams,Production,56672
Yams,Import Quantity,59
Yams,Stock Variation,60
Yams,Export Quantity,42
Yams,Domestic supply quantity,56750
Yams,Feed,8249
Yams,Seed,2113
Yams,Waste,6117
Yams,Other uses,11181
Yams,Food,29090
Yams,Food supply quantity (kg/capita/yr),4.25
Yams,Food supply (kcal/capita/day),12
Yams,Protein supply quantity (g/capita/day),0.19
Yams,Fat supply quantity (g/capita/day),0.02
"Roots, Other",Production,17835
"Roots, Other",Import Quantity,635
"Roots, Other",Stock Variation,-12
"Roots, Other",Export Quantity,355
"Roots, Other",Domestic supply quantity,18103
"Roots, Other",Feed,748
"Roots, Other",Seed,127
"Roots, Other",Waste,3089
"Roots, Other",Processing,0
"Roots, Other",Other uses,1002
"Roots, Other",Food,13180
"Roots, Other",Food supply quantity (kg/capita/yr),1.92
"Roots, Other",Food supply (kcal/capita/day),6
"Roots, Other",Protein supply quantity (g/capita/day),0.08
"Roots, Other",Fat supply quantity (g/capita/day),0.01
Sugar cane,Production,1807440
Sugar cane,Import Quantity,48
Sugar cane,Stock Variation,4148
Sugar cane,Export Quantity,21
Sugar cane,Domestic supply quantity,1811614
Sugar cane,Feed,34004
Sugar cane,Seed,28252
Sugar cane,Waste,147446
Sugar cane,Processing,1271216
Sugar cane,Other uses,299429
Sugar cane,Food,31268
Sugar cane,Food supply quantity (kg/capita/yr),4.57
Sugar cane,Food supply (kcal/capita/day),4
Sugar cane,Protein supply quantity (g/capita/day),0.02
Sugar cane,Fat supply quantity (g/capita/day),0.02
Sugar beet,Production,276276
Sugar beet,Import Quantity,1058
Sugar beet,Stock Variation,-4368
Sugar beet,Export Quantity,1360
Sugar beet,Domestic supply quantity,271606
Sugar beet,Feed,16925
Sugar beet,Waste,606
Sugar beet,Processing,247134
Sugar beet,Other uses,6932
Sugar beet,Food,42
Sugar beet,Food supply quantity (kg/capita/yr),0.01
Sugar beet,Food supply (kcal/capita/day),0
Sugar beet,Protein supply quantity (g/capita/day),0
Sugar beet,Fat supply quantity (g/capita/day),0
Sugar non-centrifugal,Production,8616
Sugar non-centrifugal,Import Quantity,18
Sugar non-centrifugal,Stock Variation,10
Sugar non-centrifugal,Export Quantity,14
Sugar non-centrifugal,Domestic supply quantity,8630
Sugar non-centrifugal,Feed,315
Sugar non-centrifugal,Waste,25
Sugar non-centrifugal,Processing,76
Sugar non-centrifugal,Other uses,2200
Sugar non-centrifugal,Food,6013
Sugar non-centrifugal,Food supply quantity (kg/capita/yr),0.88
Sugar non-centrifugal,Food supply (kcal/capita/day),8
Sugar non-centrifugal,Protein supply quantity (g/capita/day),0.02
Sugar non-centrifugal,Fat supply quantity (g/capita/day),0
Sugar (Raw Equivalent),Production,170140
Sugar (Raw Equivalent),Import Quantity,58117
Sugar (Raw Equivalent),Stock Variation,-8577
Sugar (Raw Equivalent),Export Quantity,62271
Sugar (Raw Equivalent),Domestic supply quantity,157410
Sugar (Raw Equivalent),Feed,78
Sugar (Raw Equivalent),Waste,234
Sugar (Raw Equivalent),Processing,6302
Sugar (Raw Equivalent),Other uses,12905
Sugar (Raw Equivalent),Food,137891
Sugar (Raw Equivalent),Food supply quantity (kg/capita/yr),20.14
Sugar (Raw Equivalent),Food supply (kcal/capita/day),196
"Sweeteners, Other",Production,24200
"Sweeteners, Other",Import Quantity,12309
"Sweeteners, Other",Stock Variation,250
"Sweeteners, Other",Export Quantity,10579
"Sweeteners, Other",Domestic supply quantity,26180
"Sweeteners, Other",Feed,36
"Sweeteners, Other",Seed,0
"Sweeteners, Other",Waste,0
"Sweeteners, Other",Processing,951
"Sweeteners, Other",Other uses,5689
"Sweeteners, Other",Food,19684
"Sweeteners, Other",Food supply quantity (kg/capita/yr),2.87
"Sweeteners, Other",Food supply (kcal/capita/day),23
"Sweeteners, Other",Protein supply quantity (g/capita/day),0.01
"Sweeteners, Other",Fat supply quantity (g/capita/day),0
Honey,Production,1569
Honey,Import Quantity,494
Honey,Stock Variation,-6
Honey,Export Quantity,477
Honey,Domestic supply quantity,1580
Honey,Feed,0
Honey,Processing,19
Honey,Other uses,0
Honey,Food,1561
Honey,Food supply quantity (kg/capita/yr),0.23
Honey,Food supply (kcal/capita/day),2
Honey,Protein supply quantity (g/capita/day),0
Beans,Production,22496
Beans,Import Quantity,3335
Beans,Stock Variation,517
Beans,Export Quantity,4406
Beans,Domestic supply quantity,21942
Beans,Feed,2452
Beans,Seed,1198
Beans,Waste,1246
Beans,Other uses,75
Beans,Food,16997
Beans,Food supply quantity (kg/capita/yr),2.48
Beans,Food supply (kcal/capita/day),23
Beans,Protein supply quantity (g/capita/day),1.47
Beans,Fat supply quantity (g/capita/day),0.1
Peas,Production,9909
Peas,Import Quantity,4318
Peas,Stock Variation,942
Peas,Export Quantity,4841
Peas,Domestic supply quantity,10328
Peas,Feed,3330
Peas,Seed,841
Peas,Waste,480
Peas,Processing,0
Peas,Other uses,55
Peas,Food,5622
Peas,Food supply quantity (kg/capita/yr),0.82
Peas,Food supply (kcal/capita/day),8
Peas,Protein supply quantity (g/capita/day),0.5
Peas,Fat supply quantity (g/capita/day),0.03
"Pulses, Other and products",Production,35705
"Pulses, Other and products",Import Quantity,4454
"Pulses, Other and products",Stock Variation,11
"Pulses, Other and products",Export Quantity,4235
"Pulses, Other and products",Domestic supply quantity,35936
"Pulses, Other and products",Feed,7149
"Pulses, Other and products",Seed,1939
"Pulses, Other and products",Waste,1749
"Pulses, Other and products",Processing,0
"Pulses, Other and products",Other uses,579
"Pulses, Other and products",Food,24543
"Pulses, Other and products",Food supply quantity (kg/capita/yr),3.58
"Pulses, Other and products",Food supply (kcal/capita/day),34
"Pulses, Other and products",Protein supply quantity (g/capita/day),2.09
"Pulses, Other and products",Fat supply quantity (g/capita/day),0.29
Nuts and products,Production,15323
Nuts and products,Import Quantity,6921
Nuts and products,Stock Variation,182
Nuts and products,Export Quantity,7230
Nuts and products,Domestic supply quantity,15197
Nuts and products,Seed,0
Nuts and products,Waste,458
Nuts and products,Processing,0
Nuts and products,Other uses,67
Nuts and products,Food,15068
Nuts and products,Food supply quantity (kg/capita/yr),2.2
Nuts and products,Food supply (kcal/capita/day),15
Nuts and products,Protein supply quantity (g/capita/day),0.39
Nuts and products,Fat supply quantity (g/capita/day),1.14
Soyabeans,Production,261901
Soyabeans,Import Quantity,91137
Soyabeans,Stock Variation,-2092
Soyabeans,Export Quantity,92003
Soyabeans,Domestic supply quantity,258943
Soyabeans,Feed,13320
Soyabeans,Seed,6729
Soyabeans,Waste,4027
Soyabeans,Processing,224105
Soyabeans,Other uses,663
Soyabeans,Food,10107
Soyabeans,Food supply quantity (kg/capita/yr),1.48
Soyabeans,Food supply (kcal/capita/day),14
Soyabeans,Protein supply quantity (g/capita/day),1.31
Soyabeans,Fat supply quantity (g/capita/day),0.5
Groundnuts (Shelled Eq),Production,28098
Groundnuts (Shelled Eq),Import Quantity,2392
Groundnuts (Shelled Eq),Stock Variation,375
Groundnuts (Shelled Eq),Export Quantity,2708
Groundnuts (Shelled Eq),Domestic supply quantity,28157
Groundnuts (Shelled Eq),Feed,3
Groundnuts (Shelled Eq),Seed,1238
Groundnuts (Shelled Eq),Waste,1380
Groundnuts (Shelled Eq),Processing,14251
Groundnuts (Shelled Eq),Other uses,886
Groundnuts (Shelled Eq),Food,10705
Groundnuts (Shelled Eq),Food supply quantity (kg/capita/yr),1.56
Groundnuts (Shelled Eq),Food supply (kcal/capita/day),23
Groundnuts (Shelled Eq),Protein supply quantity (g/capita/day),1
Groundnuts (Shelled Eq),Fat supply quantity (g/capita/day),1.91
Sunflower seed,Production,40777
Sunflower seed,Import Quantity,4639
Sunflower seed,Stock Variation,-3742
Sunflower seed,Export Quantity,4757
Sunflower seed,Domestic supply quantity,36918
Sunflower seed,Feed,2659
Sunflower seed,Seed,725
Sunflower seed,Waste,999
Sunflower seed,Processing,31706
Sunflower seed,Other uses,116
Sunflower seed,Food,713
Sunflower seed,Food supply quantity (kg/capita/yr),0.1
Sunflower seed,Food supply (kcal/capita/day),1
Sunflower seed,Protein supply quantity (g/capita/day),0.03
Sunflower seed,Fat supply quantity (g/capita/day),0.07
Rape and Mustardseed,Production,63316
Rape and Mustardseed,Import Quantity,18492
Rape and Mustardseed,Stock Variation,955
Rape and Mustardseed,Export Quantity,17576
Rape and Mustardseed,Domestic supply quantity,65186
Rape and Mustardseed,Feed,4366
Rape and Mustardseed,Seed,625
Rape and Mustardseed,Waste,1718
Rape and Mustardseed,Processing,57265
Rape and Mustardseed,Other uses,315
Rape and Mustardseed,Food,931
Rape and Mustardseed,Food supply quantity (kg/capita/yr),0
Rape and Mustardseed,Food supply (kcal/capita/day),2
Rape and Mustardseed,Protein supply quantity (g/capita/day),0
Rape and Mustardseed,Fat supply quantity (g/capita/day),0
Cottonseed,Production,48366
Cottonseed,Import Quantity,1125
Cottonseed,Stock Variation,-186
Cottonseed,Export Quantity,1156
Cottonseed,Domestic supply quantity,48149
Cottonseed,Feed,12193
Cottonseed,Seed,1325
Cottonseed,Waste,1228
Cottonseed,Processing,31099
Cottonseed,Other uses,2304
Cottonseed,Food,0
Cottonseed,Food supply quantity (kg/capita/yr),0
Cottonseed,Food supply (kcal/capita/day),0
Cottonseed,Protein supply quantity (g/capita/day),0
Cottonseed,Fat supply quantity (g/capita/day),0
Coconuts - Incl Copra,Production,57233
Coconuts - Incl Copra,Import Quantity,2743
Coconuts - Incl Copra,Stock Variation,-2451
Coconuts - Incl Copra,Export Quantity,2830
Coconuts - Incl Copra,Domestic supply quantity,54696
Coconuts - Incl Copra,Feed,46
Coconuts - Incl Copra,Seed,152
Coconuts - Incl Copra,Waste,2745
Coconuts - Incl Copra,Processing,23447
Coconuts - Incl Copra,Other uses,7864
Coconuts - Incl Copra,Food,20485
